dateTime,event,team1,team2
2020-08-21-18-30,b'ESL One Cologne 2020 Europe',b'MIBR',b'FaZe'
2020-08-21-19-00,"b""Malta Vibes 8 - Group B winners' match""",,
2020-08-21-19-00,b'Malta Vibes 8 - Group B elimination match',,
2020-08-21-22-00,b'ESL One Cologne 2020 North America',b'Evil Geniuses',b'Liquid'
2020-08-21-22-00,b'Malta Vibes 8 - Group B decider match',,
2020-08-22-00-00,b'CBCS The Conquest 2020',b'Prodigy',b'Neverest'
2020-08-22-03-30,b'ESEA MDL Season 34 North America Relegation',b'ImPerium',b'timbermen'
2020-08-22-04-30,b'ESL Australia & NZ Championship Season 11',b'ORDER',b'Rooster'
2020-08-22-08-00,b'ESL Australia & NZ Championship Season 11',b'Renegades',b'AVANT'
2020-08-22-10-00,b'Eden Arena Malta Vibes Cup 8',b'K23',b'CR4ZY'
2020-08-22-10-00,b'Eden Arena Malta Vibes Cup 8',b'Espada',b'FATE'
2020-08-22-11-00,"b""Malta Vibes 8 - Group C winners' match""",,
2020-08-22-11-00,b'Malta Vibes 8 - Group C elimination match',,
2020-08-22-11-30,b'ESL ANZ S11 - Grand Final',,
2020-08-22-14-00,b'Malta Vibes 8 - Group C decider match',,
2020-08-22-15-00,b'ESL One Cologne 2020 Europe',b'Sprout',b'OG'
2020-08-22-17-00,b'Eden Arena Malta Vibes Cup 8',b'forZe',b'lvlUP'
2020-08-22-17-00,b'Eden Arena Malta Vibes Cup 8',b'Gambit Youngsters',b'PACT'
2020-08-22-18-00,"b""Malta Vibes 8 - Group D winners' match""",,
2020-08-22-18-00,b'Malta Vibes 8 - Group D elimination match',,
2020-08-22-18-30,b'ESL One Cologne 2020 Europe',b'Vitality',b'Astralis'
2020-08-22-21-00,b'Malta Vibes 8 - Group D decider match',,
2020-08-22-22-00,b'ESL One Cologne 2020 North America',b'FURIA',b'Gen.G'
2020-08-23-10-00,b'Malta Vibes 8 - Quarter-final #1',,
2020-08-23-13-00,b'Malta Vibes 8 - Quarter-final #2',,
2020-08-23-15-00,b'ESL One Cologne 2020 Europe',b'Complexity',b'Natus Vincere'
2020-08-23-16-00,b'Malta Vibes 8 - Quarter-final #3',,
2020-08-23-18-30,b'ESL One Cologne 2020 Europe',b'G2',b'Heroic'
2020-08-23-19-00,b'Malta Vibes 8 - Quarter-final #4',,
2020-08-23-22-00,b'ESL One Cologne 2020 North America',b'Triumph',b'Cloud9'
2020-08-24-09-00,b'Nine to Five 3 Playoffs Round 1 Match #1',,
2020-08-24-09-00,b'Nine to Five 3 Playoffs Round 1 Match #2',,
2020-08-24-12-00,b'Nine to Five 3 Playoffs Round 1 Match #3',,
2020-08-24-12-00,b'Nine to Five 3 Playoffs Round 1 Match #4',,
2020-08-24-15-00,b'Malta Vibes 8 - Semi-final #1',,
2020-08-24-18-00,b'Malta Vibes 8 - Semi-final #2',,
2020-08-24-21-00,b'Malta Vibes 8 - Grand Final',,
2020-08-24-22-20,b'CLUTCH Season 3',b'DETONA',b'9z'
2020-08-24-23-30,b'CLUTCH Season 3',b'Isurus',b'W7M'
2020-08-25-00-40,b'CLUTCH Season 3',b'Keyd',b'Bravos'
2020-08-25-01-50,b'CLUTCH Season 3',b'Real Betis SA',b'RED Canids'
2020-08-25-03-00,b'CLUTCH Season 3',b'e-Galo',b'Sharks'
2020-08-25-08-00,b'ESL One Cologne 2020 Oceania',b'Renegades',b'Chiefs'
2020-08-25-09-00,b'Nine to Five 3 Quarter-Final #1',,
2020-08-25-09-00,b'Nine to Five 3 Quarter-Final #2',,
2020-08-25-11-30,b'ESL One Cologne 2020 Asia',b'TYLOO',b'Beyond'
2020-08-25-12-00,b'Nine to Five 3 Quarter-Final #3',,
2020-08-25-12-00,b'Nine to Five 3 Quarter-Final #4',,
2020-08-25-15-00,b'ESL One Cologne 2020 Europe',b'NiP',b'Complexity/Natus Vincere loser'
2020-08-25-18-30,b'ESL One Cologne 2020 Europe',b'fnatic',b'Heroic/G2 loser'
2020-08-25-22-00,b'ESL One Cologne 2020 North America',b'100 Thieves',b'FURIA/Gen.G winner'
2020-08-26-08-00,b'ESL One Cologne 2020 Oceania',b'ORDER',b'AVANT'
2020-08-26-09-00,b'Nine to Five 3 Semi-Final #1',,
2020-08-26-09-00,b'Nine to Five 3 Semi-Final #2',,
2020-08-26-11-30,b'ESL One Cologne 2020 Asia',b'ViCi',b'Invictus'
2020-08-26-12-00,b'Nine to Five 3 Grand Final',,
2020-08-26-15-00,b'ESL One Cologne 2020 Europe',b'MAD Lions',b'Sprout/OG loser'
2020-08-26-18-30,b'ESL One Cologne Europe Group B Lower Bracket Semi-Final #2',,
2020-08-26-22-00,b'ESL One Cologne North America Group B Decider Match',,
2020-08-26-22-20,b'CLUTCH Season 3',b'Bravos',b'DETONA'
2020-08-26-23-30,b'CLUTCH Season 3',b'9z',b'e-Galo'
2020-08-27-00-40,b'CLUTCH Season 3',b'Sharks',b'Real Betis SA'
2020-08-27-01-50,b'CLUTCH Season 3',b'W7M',b'Keyd'
2020-08-27-03-00,b'CLUTCH Season 3',b'RED Canids',b'Isurus'
2020-08-27-08-00,b'ESL One Cologne Oceania Upper Bracket Final',,
2020-08-27-11-30,b'ESL One Cologne Asia Upper Bracket Final',,
2020-08-27-15-00,b'ESL One Cologne Europe Quarter-Final #1',,
2020-08-27-18-30,b'ESL One Cologne Europe Quarter-Final #2',,
2020-08-27-22-00,b'ESL One Cologne North America Semi-Final #1',,
2020-08-28-08-00,b'ESL One Cologne Oceania Lower Bracket Round 1',,
2020-08-28-11-30,b'ESL One Cologne Asia Lower Bracket Round 1',,
2020-08-28-15-00,b'ESL One Cologne Europe Quarter-Final #3',,
2020-08-28-18-30,b'ESL One Cologne Europe Quarter-Final #4',,
2020-08-28-22-00,b'ESL One Cologne North America Semi-Final #2',,
2020-08-29-08-00,b'ESL One Cologne Oceania Consolidation Final',,
2020-08-29-11-30,b'ESL One Cologne Asia Consolidation Final',,
2020-08-29-15-00,b'ESL One Cologne Europe Semi-Final #1',,
2020-08-29-18-30,b'ESL One Cologne Europe Semi-Final #2',,
2020-08-29-22-00,b'ESL One Cologne North America Grand Final',,
2020-08-30-08-00,b'ESL One Cologne Oceania Grand Final',,
2020-08-30-11-30,b'ESL One Cologne Asia Grand Final',,
2020-08-30-18-30,b'ESL One Cologne Europe Grand Final',,
